id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
2h1rjzw90ZeMgbzOHJFHao,0.768,0.0939,143.993,0.0375,0.00632,0.0,4,0.434,4,277360,-5.824,0.221,1,audio_features,spotify:track:2h1rjzw90ZeMgbzOHJFHao
6aEKWnhMVr2rdaqSdNha6U,0.243,0.107,130.01,0.0388,0.8,0.789,3,0.295,8,214787,-18.344,0.0882,0,audio_features,spotify:track:6aEKWnhMVr2rdaqSdNha6U
2eFvLVXiuZFthQi3AfRZ6S,0.681,0.109,96.532,0.0534,0.349,0.0,4,0.406,0,304560,-5.116,0.307,1,audio_features,spotify:track:2eFvLVXiuZFthQi3AfRZ6S
5fnA9mkIfScSqHIpeDyvck,0.886,0.623,123.002,0.0258,0.0219,7.43e-06,4,0.76,9,189399,-5.356,0.78,0,audio_features,spotify:track:5fnA9mkIfScSqHIpeDyvck
6rbpQhCpV8dAUlBG6LjObv,0.578,0.108,130.161,0.0302,0.672,0.786,4,0.542,2,167750,-12.821,0.403,1,audio_features,spotify:track:6rbpQhCpV8dAUlBG6LjObv
04a0cAnBJYhAyDr90l9Yx5,0.116,0.108,98.469,0.0524,0.916,0.724,4,0.435,6,264973,-21.43,0.111,0,audio_features,spotify:track:04a0cAnBJYhAyDr90l9Yx5
5tdEWfBGNX7a7zD78tUwLZ,0.219,0.879,85.33,0.0476,0.742,0.0569,4,0.598,7,216800,-15.048,0.415,0,audio_features,spotify:track:5tdEWfBGNX7a7zD78tUwLZ
5ifd93AA1pe5caxpVzZ7PA,0.461,0.167,101.485,0.24,0.977,0.601,4,0.751,11,204893,-9.104,0.542,0,audio_features,spotify:track:5ifd93AA1pe5caxpVzZ7PA
4h4SU2upa1LCBnLyoSr94q,0.683,0.276,176.81,0.0485,0.0362,0.229,3,0.21,9,258507,-5.309,0.376,0,audio_features,spotify:track:4h4SU2upa1LCBnLyoSr94q
3NFuE3uDOr6QUw9UZ9HzKo,0.815,0.163,123.063,0.0581,0.0185,0.0,4,0.636,5,219043,-5.098,0.636,0,audio_features,spotify:track:3NFuE3uDOr6QUw9UZ9HzKo
